my_medewerkersnummer,mijn_wijknaam,afdeling_kohier,kiesdistrict_GR1899,woningbouwvereniging
822,bakenes,2,2,
823,amsterdamse buurt,1,1,
824,amsterdamse buurt,1,1,
825,vijfhoek,4,3,
826,rozenprieel,3,3,
827,amsterdamse buurt,1,1,
828,amsterdamse buurt,1,1,
829,burgwal,1,2,
830,burgwal,1,1,
831,burgwal,1,1,
832,rozenprieel,3,3,
833,amsterdamse buurt,1,1,
834,amsterdamse buurt,1,1,
835,amsterdamse buurt,1,1,
836,rozenprieel,3,3,
837,amsterdamse buurt,1,1,
838,frans hals buurt,6,2,
839,burgwal,1,1,
840,vijfhoek,4,1,
841,rozenprieel,3,3,
842,rozenprieel,3,3,
843,rozenprieel,3,3,
844,rozenprieel,3,3,
845,zijlweg,5,2,
846,amsterdamse buurt,1,1,ons doel en streven
847,rozenprieel,3,3,
848,heiligland,3,3,
849,rozenprieel,3,3,
850,amsterdamse buurt,1,1,
851,amsterdamse buurt,1,1,nut door spaarzaamheid
852,centrum,5,2,
853,amsterdamse buurt,1,1,
854,bakenes,2,2,
855,amsterdamse buurt,1,1,
856,stationsbuurt,6,2,
857,vijfhoek,4,3,
858,rozenprieel,3,3,
859,amsterdamse buurt,1,1,
860,frans hals buurt,6,2,
861,heiligland,3,3,
862,heemstede,0,0,
863,vijfhoek,4,3,
864,heiligland,3,3,
865,amsterdamse buurt,1,1,nut door spaarzaamheid
866,schoten,0,0,
867,schoten,0,0,
868,leidse buurt,4,3,
869,frans hals buurt,6,2,
870,schoten,0,0,
871,stationsbuurt,6,2,
872,burgwal,1,1,
873,amsterdamse buurt,1,1,
874,amsterdamse buurt,1,1,
875,amsterdamse buurt,1,1,
876,amsterdamse buurt,1,1,
877,leidse buurt,4,3,
878,rozenprieel,3,3,
879,amsterdamse buurt,1,1,
880,amsterdamse buurt,1,1,
881,haarlemmerliede,0,0,
882,schoten,0,0,
883,burgwal,1,2,
884,vijfhoek,4,3,
885,leidse buurt,4,3,
886,amsterdamse buurt,1,1,
887,rozenprieel,3,3,
888,amsterdamse buurt,1,1,
889,amsterdamse buurt,1,1,
890,zijlweg,5,2,
891,amsterdamse buurt,1,1,
892,amsterdamse buurt,1,1,
893,amsterdamse buurt,1,1,
894,frans hals buurt,6,2,
895,burgwal,1,2,
896,heiligland,3,3,
897,amsterdamse buurt,1,1,
898,amsterdamse buurt,1,1,
899,amsterdamse buurt,1,1,
900,amsterdamse buurt,1,1,
901,amsterdamse buurt,1,1,
902,burgwal,1,2,
903,amsterdamse buurt,1,1,
904,amsterdamse buurt,1,1,
905,rozenprieel,3,3,
906,rozenprieel,3,3,
907,amsterdamse buurt,1,1,nut door spaarzaamheid
908,frans hals buurt,6,2,
909,amsterdamse buurt,1,1,
910,amsterdamse buurt,1,1,
911,amsterdamse buurt,1,1,
912,amsterdamse buurt,1,1,
913,amsterdamse buurt,1,1,
914,amsterdamse buurt,1,1,
915,amsterdamse buurt,1,1,
916,amsterdamse buurt,1,1,
917,vijfhoek,4,3,
