my_medewerkersnummer,uri_naam
351,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
352,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
353,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
354,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
355,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bloemendaal
356,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
357,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmerliede_en_Spaarnwoude
358,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
359,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
360,http://www.gemeentegeschiedenis.nl/gemeentenaam/Urk
361,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
362,http://www.gemeentegeschiedenis.nl/gemeentenaam/Apeldoorn
363,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
364,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
365,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
366,http://www.gemeentegeschiedenis.nl/gemeentenaam/Velsen
367,http://www.gemeentegeschiedenis.nl/gemeentenaam/Goes
368,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schoten
369,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
370,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
371,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
372,http://www.gemeentegeschiedenis.nl/gemeentenaam/Venlo
373,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
374,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
375,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
376,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
377,http://www.gemeentegeschiedenis.nl/gemeentenaam/Kattendijke
378,http://www.gemeentegeschiedenis.nl/gemeentenaam/Tilburg
379,http://www.gemeentegeschiedenis.nl/gemeentenaam/Bolsward
380,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlemmerliede_en_Spaarnwoude
381,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
382,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
383,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
384,NOI
385,http://www.gemeentegeschiedenis.nl/gemeentenaam/Venlo
386,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
387,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
388,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
389,http://www.gemeentegeschiedenis.nl/gemeentenaam/Amsterdam
390,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zaandam
391,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
392,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
393,http://www.gemeentegeschiedenis.nl/gemeentenaam/Schagen
394,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
395,http://www.gemeentegeschiedenis.nl/gemeentenaam/Delfshaven
396,http://www.gemeentegeschiedenis.nl/gemeentenaam/Haarlem
397,http://www.gemeentegeschiedenis.nl/gemeentenaam/Zaandam
