naam,uri_naam,uri_amco,amco,cbs_code,geonames,startjaar,eindjaar,provincie
Sijbekarspel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sijbekarspel,http://www.gemeentegeschiedenis.nl/amco/11167,11167,447,0,oudsher,1979,Noord-Holland
Sint Maarten,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint_Maarten,http://www.gemeentegeschiedenis.nl/amco/10740,10740,445,0,oudsher,1990,Noord-Holland
Sint Pancras,http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint_Pancras,http://www.gemeentegeschiedenis.nl/amco/10513,10513,446,0,1817,1990,Noord-Holland
Sloten [NH],http://www.gemeentegeschiedenis.nl/gemeentenaam/Sloten_NH,http://www.gemeentegeschiedenis.nl/amco/10148,10148,1181,0,oudsher,1921,Noord-Holland
Spaarndam,http://www.gemeentegeschiedenis.nl/gemeentenaam/Spaarndam,http://www.gemeentegeschiedenis.nl/amco/10192,10192,1185,0,oudsher,1927,Noord-Holland
Spaarnwoude,http://www.gemeentegeschiedenis.nl/gemeentenaam/Spaarnwoude,http://www.gemeentegeschiedenis.nl/amco/10508,10508,1374,0,oudsher,1857,Noord-Holland
Spanbroek,http://www.gemeentegeschiedenis.nl/gemeentenaam/Spanbroek,http://www.gemeentegeschiedenis.nl/amco/10063,10063,1186,0,oudsher,1959,Noord-Holland
Stede Broec,http://www.gemeentegeschiedenis.nl/gemeentenaam/Stede_Broec,http://www.gemeentegeschiedenis.nl/amco/11337,11337,532,6544238,1979,heden,Noord-Holland
Texel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Texel,http://www.gemeentegeschiedenis.nl/amco/10237,10237,448,2746383,oudsher,heden,Noord-Holland
Thamen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Thamen,http://www.gemeentegeschiedenis.nl/amco/10403,10403,,0,1818,1820,Noord-Holland
Twisk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Twisk,http://www.gemeentegeschiedenis.nl/amco/10371,10371,449,0,oudsher,1979,Noord-Holland
Uitgeest,http://www.gemeentegeschiedenis.nl/gemeentenaam/Uitgeest,http://www.gemeentegeschiedenis.nl/amco/11238,11238,450,2745977,oudsher,heden,Noord-Holland
Uithoorn,http://www.gemeentegeschiedenis.nl/gemeentenaam/Uithoorn,http://www.gemeentegeschiedenis.nl/amco/11206,11206,451,2745972,oudsher,heden,Noord-Holland
Ursem,http://www.gemeentegeschiedenis.nl/gemeentenaam/Ursem,http://www.gemeentegeschiedenis.nl/amco/10696,10696,452,0,oudsher,1979,Noord-Holland
Urk,http://www.gemeentegeschiedenis.nl/gemeentenaam/Urk,http://www.gemeentegeschiedenis.nl/amco/10783,10783,184,2745931,oudsher,heden,Noord-Holland
Veenhuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Veenhuizen,http://www.gemeentegeschiedenis.nl/amco/10718,10718,1384,0,1817,1854,Noord-Holland
Velsen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Velsen,http://www.gemeentegeschiedenis.nl/amco/10620,10620,453,2745675,oudsher,heden,Noord-Holland
Venhuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Venhuizen,http://www.gemeentegeschiedenis.nl/amco/10433,10433,454,0,oudsher,2006,Noord-Holland
Warder,http://www.gemeentegeschiedenis.nl/gemeentenaam/Warder,http://www.gemeentegeschiedenis.nl/amco/11073,11073,455,0,1817,1970,Noord-Holland
Warmenhuizen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Warmenhuizen,http://www.gemeentegeschiedenis.nl/amco/10221,10221,456,0,oudsher,1990,Noord-Holland
Watergraafsmeer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Watergraafsmeer,http://www.gemeentegeschiedenis.nl/amco/11122,11122,1219,0,1817,1921,Noord-Holland
Waterland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Waterland,http://www.gemeentegeschiedenis.nl/amco/10983,10983,852,2758257,1991,heden,Noord-Holland
Weesp,http://www.gemeentegeschiedenis.nl/gemeentenaam/Weesp,http://www.gemeentegeschiedenis.nl/amco/10773,10773,457,2744903,oudsher,heden,Noord-Holland
Weesperkarspel,http://www.gemeentegeschiedenis.nl/gemeentenaam/Weesperkarspel,http://www.gemeentegeschiedenis.nl/amco/10377,10377,1221,0,1817,1966,Noord-Holland
Wervershoof,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wervershoof,http://www.gemeentegeschiedenis.nl/amco/11270,11270,459,0,1817,2011,Noord-Holland
Wester-Koggenland,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wester-Koggenland,http://www.gemeentegeschiedenis.nl/amco/10354,10354,558,0,1979,2007,Noord-Holland
Westwoud,http://www.gemeentegeschiedenis.nl/gemeentenaam/Westwoud,http://www.gemeentegeschiedenis.nl/amco/11101,11101,460,0,1817,1979,Noord-Holland
Westzaan,http://www.gemeentegeschiedenis.nl/gemeentenaam/Westzaan,http://www.gemeentegeschiedenis.nl/amco/11381,11381,461,0,oudsher,1974,Noord-Holland
Wieringen,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wieringen,http://www.gemeentegeschiedenis.nl/amco/11277,11277,462,0,oudsher,heden,Noord-Holland
Wieringermeer,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wieringermeer,http://www.gemeentegeschiedenis.nl/amco/10239,10239,463,,1941,heden,Noord-Holland
"Wieringermeer, Openbaar Lichaam De",http://www.gemeentegeschiedenis.nl/gemeentenaam/Wieringermeer__Openbaar_Lichaam_De,http://www.gemeentegeschiedenis.nl/amco/10239,10239,463,,1938,1941,Noord-Holland
Wieringerwaard,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wieringerwaard,http://www.gemeentegeschiedenis.nl/amco/11164,11164,464,0,oudsher,1970,Noord-Holland
Wijdemeren,http://www.gemeentegeschiedenis.nl/gemeentenaam/Wijdemeren,http://www.gemeentegeschiedenis.nl/amco/10534,10534,1696,3345301,2002,heden,Noord-Holland
